year,season,WB,Jimmy,Mitchell,Obear
2010,1,18.14,8.9,0.71,-0.58
2010,2,18.55,8.6,0.71,-0.58
2010,3,18.01,9.1,0.71,-0.58
2010,4,17.96,9.73,0.69,-0.37
2011,1,18.04,9.01,0.71,-0.58
2011,2,18.65,8.6,0.71,-0.58
2011,3,18.04,9.01,0.7,-0.56
2011,4,17.96,9.73,0.69,-0.43
2012,1,18.06,9.03,0.71,-0.58
2012,2,18.61,8.6,0.71,-0.58
2012,3,18.03,9.21,0.7,-0.57
2012,4,17.96,9.75,0.69,-0.37
2013,1,18.07,8.99,0.71,-0.58
2013,2,18.62,8.6,0.71,-0.58
2013,3,18.09,9.09,0.71,-0.57
2013,4,17.96,9.73,0.69,-0.4
2014,1,18.06,9.08,0.71,-0.58
2014,2,18.58,8.6,0.71,-0.58
2014,3,18.08,9.16,0.71,-0.56
2014,4,17.96,9.72,0.69,-0.34
2015,1,18.06,9.08,0.71,-0.58
2015,2,18.56,8.6,0.71,-0.58
2015,3,18.04,9.2,0.7,-0.54
2015,4,17.96,9.74,0.69,-0.31
2016,1,18.04,9.11,0.71,-0.58
2016,2,18.58,8.6,0.71,-0.58
2016,3,18.05,9.15,0.71,-0.58
2016,4,17.96,9.7,0.69,-0.39
2017,1,18.02,9.19,0.71,-0.58
2017,2,18.58,8.6,0.71,-0.58
2017,3,18.15,9.15,0.71,-0.56
2017,4,17.96,9.73,0.69,-0.38
2018,1,18.12,8.96,0.71,-0.58
2018,2,18.56,8.6,0.71,-0.58
2018,3,18.04,9.19,0.71,-0.58
2018,4,17.96,9.74,0.69,-0.35
2019,1,17.98,9.16,0.71,-0.58
2019,2,18.54,8.6,0.71,-0.58
2019,3,18.01,9.17,0.7,-0.56
2019,4,17.96,9.74,0.69,-0.34
2020,1,18.1,9.07,0.71,-0.58
2020,2,18.47,8.6,0.71,-0.58
2020,3,18.04,9.17,0.7,-0.57
2020,4,17.96,9.74,0.69,-0.34
2021,1,18.06,9.12,0.71,-0.58
2021,2,18.53,8.6,0.71,-0.58
2021,3,18.1,9.16,0.71,-0.58
2021,4,17.96,9.75,0.69,-0.38
2022,1,17.99,9.28,0.71,-0.56
2022,2,18.57,8.62,0.71,-0.58
2022,3,18.05,9.17,0.7,-0.56
2022,4,17.96,9.74,0.69,-0.3
2023,1,18.16,8.92,0.71,-0.58
2023,2,18.65,8.61,0.71,-0.58
2023,3,18.09,9.19,0.7,-0.57
2023,4,17.96,9.71,0.69,-0.36
2024,1,17.97,9.11,0.71,-0.58
2024,2,18.61,8.6,0.71,-0.58
2024,3,18.03,9.01,0.71,-0.57
2024,4,17.96,9.72,0.69,-0.43
2025,1,18.02,9.19,0.7,-0.57
2025,2,18.51,8.6,0.71,-0.58
2025,3,18.09,9.05,0.7,-0.56
2025,4,17.96,9.74,0.69,-0.32
2026,1,18.11,9.01,0.71,-0.58
2026,2,18.55,8.6,0.71,-0.58
2026,3,18.13,9.06,0.71,-0.57
2026,4,17.96,9.74,0.69,-0.36
2027,1,18.05,9.07,0.71,-0.58
2027,2,18.63,8.6,0.71,-0.58
2027,3,18.12,9.11,0.7,-0.56
2027,4,17.96,9.72,0.69,-0.38
2028,1,18.17,9.08,0.7,-0.57
2028,2,18.56,8.6,0.71,-0.58
2028,3,18.08,9.21,0.7,-0.57
2028,4,17.96,9.71,0.69,-0.35
2029,1,18.13,8.97,0.71,-0.58
2029,2,18.6,8.6,0.71,-0.58
2029,3,18.16,9.01,0.7,-0.56
2029,4,17.96,9.72,0.69,-0.37
2030,1,18.06,9.06,0.71,-0.58
2030,2,18.59,8.61,0.71,-0.58
2030,3,18.04,9.26,0.71,-0.57
2030,4,17.96,9.74,0.69,-0.33
2031,1,18.11,8.96,0.71,-0.58
2031,2,18.66,8.6,0.71,-0.58
2031,3,18.12,9.14,0.71,-0.57
2031,4,17.96,9.72,0.69,-0.39
2032,1,17.98,9.33,0.71,-0.58
2032,2,18.59,8.6,0.71,-0.58
2032,3,18.05,9.17,0.71,-0.57
2032,4,17.96,9.75,0.69,-0.34
2033,1,18.04,9.08,0.71,-0.58
2033,2,18.58,8.6,0.71,-0.58
2033,3,18.05,9.15,0.7,-0.55
2033,4,17.96,9.74,0.69,-0.3
2034,1,18.04,9.1,0.71,-0.58
2034,2,18.57,8.6,0.71,-0.58
2034,3,18.06,9.25,0.71,-0.57
2034,4,17.96,9.74,0.69,-0.39
2035,1,18.04,9.02,0.71,-0.58
2035,2,18.62,8.6,0.71,-0.58
2035,3,18.14,9.08,0.7,-0.55
2035,4,17.96,9.71,0.69,-0.37
2036,1,18.04,9.12,0.71,-0.58
2036,2,18.59,8.6,0.71,-0.58
2036,3,18.13,9.1,0.71,-0.58
2036,4,17.96,9.72,0.69,-0.35
2037,1,18.03,9.2,0.71,-0.58
2037,2,18.62,8.6,0.71,-0.58
2037,3,18.16,9.19,0.71,-0.57
2037,4,17.96,9.73,0.69,-0.35
2038,1,18.05,9.14,0.71,-0.58
2038,2,18.62,8.6,0.71,-0.58
2038,3,18.08,9.16,0.7,-0.57
2038,4,17.96,9.73,0.69,-0.38
2039,1,18.04,9.07,0.71,-0.58
2039,2,18.68,8.6,0.71,-0.58
2039,3,18.15,9.15,0.71,-0.58
2039,4,17.96,9.74,0.69,-0.4
2040,1,18.02,9.09,0.71,-0.58
2040,2,18.45,8.6,0.71,-0.58
2040,3,18.06,9.15,0.71,-0.58
2040,4,17.96,9.7,0.69,-0.35
2041,1,18.01,9.16,0.71,-0.58
2041,2,18.57,8.6,0.71,-0.58
2041,3,18.08,9.1,0.71,-0.57
2041,4,17.96,9.72,0.69,-0.39
2042,1,18.16,9.01,0.71,-0.58
2042,2,18.5,8.62,0.71,-0.58
2042,3,18.11,9.11,0.71,-0.57
2042,4,17.96,9.74,0.69,-0.39
2043,1,18.02,9.08,0.71,-0.58
2043,2,18.61,8.6,0.71,-0.58
2043,3,18.04,9.16,0.7,-0.57
2043,4,17.96,9.74,0.69,-0.33
2044,1,18.05,9.09,0.71,-0.58
2044,2,18.59,8.6,0.71,-0.58
2044,3,18.12,9.07,0.71,-0.57
2044,4,17.96,9.72,0.69,-0.35
2045,1,18.1,9.05,0.71,-0.58
2045,2,18.57,8.6,0.71,-0.58
2045,3,18.04,9.16,0.71,-0.57
2045,4,17.96,9.74,0.69,-0.36
2046,1,18.03,8.98,0.71,-0.58
2046,2,18.74,8.6,0.71,-0.58
2046,3,18.12,9.18,0.7,-0.56
2046,4,17.96,9.71,0.69,-0.37
2047,1,18.03,9.19,0.71,-0.58
2047,2,18.44,8.6,0.71,-0.58
2047,3,18.02,9.21,0.71,-0.57
2047,4,17.96,9.73,0.69,-0.35
2048,1,18.05,9.22,0.71,-0.58
2048,2,18.58,8.6,0.71,-0.58
2048,3,18.07,9.11,0.71,-0.57
2048,4,17.96,9.74,0.69,-0.35
2049,1,18,9.19,0.71,-0.58
2049,2,18.49,8.6,0.71,-0.58
2049,3,18.1,9.19,0.7,-0.56
2049,4,17.96,9.75,0.69,-0.33
2050,1,18,9.06,0.71,-0.58
2050,2,18.54,8.6,0.71,-0.58
2050,3,18.07,9.14,0.71,-0.58
2050,4,17.96,9.73,0.69,-0.35
2051,1,18.02,8.99,0.71,-0.58
2051,2,18.59,8.61,0.71,-0.58
2051,3,18.09,9.07,0.71,-0.56
2051,4,17.96,9.73,0.69,-0.36
2052,1,18.15,9.02,0.71,-0.58
2052,2,18.57,8.6,0.71,-0.58
2052,3,18.05,9.29,0.7,-0.57
2052,4,17.96,9.72,0.69,-0.34
2053,1,18.03,9.12,0.71,-0.58
2053,2,18.48,8.6,0.71,-0.58
2053,3,18.05,9.14,0.7,-0.55
2053,4,17.96,9.75,0.69,-0.34
2054,1,18.03,9.08,0.71,-0.57
2054,2,18.62,8.6,0.71,-0.58
2054,3,18.11,9.16,0.71,-0.57
2054,4,17.96,9.72,0.69,-0.32
2055,1,18.06,9.05,0.71,-0.58
2055,2,18.52,8.6,0.71,-0.58
2055,3,18.05,9.26,0.7,-0.54
2055,4,17.96,9.74,0.69,-0.36
2056,1,18.08,8.88,0.71,-0.58
2056,2,18.65,8.6,0.71,-0.58
2056,3,18.04,9.11,0.71,-0.58
2056,4,17.96,9.74,0.69,-0.41
2057,1,18.03,9,0.71,-0.58
2057,2,18.61,8.6,0.71,-0.58
2057,3,18.1,9.07,0.71,-0.58
2057,4,17.96,9.73,0.69,-0.43
2058,1,18.1,9,0.71,-0.58
2058,2,18.62,8.6,0.71,-0.58
2058,3,18.07,9.15,0.71,-0.58
2058,4,17.96,9.74,0.69,-0.39
2059,1,18.18,8.94,0.71,-0.58
2059,2,18.53,8.6,0.71,-0.58
2059,3,18.04,9.24,0.7,-0.56
2059,4,17.96,9.74,0.69,-0.36
2060,1,18.02,9.17,0.71,-0.58
2060,2,18.54,8.6,0.71,-0.58
2060,3,18.04,9.1,0.7,-0.56
2060,4,17.96,9.73,0.69,-0.37
2061,1,18.04,8.95,0.71,-0.58
2061,2,18.63,8.6,0.71,-0.58
2061,3,18.18,9.18,0.7,-0.57
2061,4,17.96,9.75,0.69,-0.32
2062,1,18.08,9.16,0.71,-0.58
2062,2,18.57,8.6,0.71,-0.58
2062,3,18.02,9.21,0.7,-0.56
2062,4,17.96,9.75,0.69,-0.35
2063,1,18,9.13,0.71,-0.58
2063,2,18.62,8.6,0.71,-0.58
2063,3,18,9.09,0.71,-0.58
2063,4,17.96,9.73,0.69,-0.31
2064,1,18.06,9.1,0.71,-0.58
2064,2,18.52,8.6,0.71,-0.58
2064,3,18.06,9.15,0.71,-0.58
2064,4,17.96,9.75,0.69,-0.33
2065,1,18.14,8.98,0.71,-0.58
2065,2,18.44,8.6,0.71,-0.58
2065,3,18.06,9.15,0.71,-0.57
2065,4,17.96,9.7,0.69,-0.42
2066,1,18,9.06,0.71,-0.58
2066,2,18.58,8.61,0.71,-0.58
2066,3,18.12,9.08,0.71,-0.58
2066,4,17.96,9.74,0.69,-0.4
2067,1,18.07,9.13,0.71,-0.58
2067,2,18.64,8.6,0.71,-0.58
2067,3,18.13,9.1,0.71,-0.56
2067,4,17.96,9.74,0.69,-0.37
2068,1,18.07,9.07,0.71,-0.58
2068,2,18.62,8.6,0.71,-0.58
2068,3,18.1,9.17,0.71,-0.58
2068,4,17.96,9.73,0.69,-0.39
2069,1,18.09,8.97,0.71,-0.58
2069,2,18.54,8.6,0.71,-0.58
2069,3,18.05,9.15,0.71,-0.58
2069,4,17.96,9.74,0.69,-0.39
2070,1,18.02,9.08,0.71,-0.58
2070,2,18.52,8.6,0.71,-0.58
2070,3,18.07,9.19,0.7,-0.55
2070,4,17.96,9.73,0.69,-0.35
2071,1,18.1,9.12,0.71,-0.58
2071,2,18.64,8.6,0.71,-0.58
2071,3,18.02,9.13,0.71,-0.58
2071,4,17.96,9.73,0.69,-0.38
2072,1,18.09,8.98,0.71,-0.58
2072,2,18.56,8.6,0.71,-0.58
2072,3,18.08,9.24,0.71,-0.57
2072,4,17.96,9.72,0.69,-0.39
2073,1,18,9.23,0.71,-0.58
2073,2,18.53,8.6,0.71,-0.58
2073,3,18.01,9.21,0.7,-0.56
2073,4,17.96,9.74,0.69,-0.38
2074,1,18,9.03,0.71,-0.58
2074,2,18.66,8.6,0.71,-0.58
2074,3,18.09,9.22,0.71,-0.58
2074,4,17.96,9.71,0.69,-0.41
2075,1,18.14,9,0.71,-0.58
2075,2,18.67,8.6,0.71,-0.58
2075,3,18.06,9.2,0.71,-0.58
2075,4,17.96,9.72,0.69,-0.39
2076,1,18.05,9.02,0.71,-0.58
2076,2,18.65,8.6,0.71,-0.58
2076,3,18.05,9.14,0.71,-0.57
2076,4,17.96,9.74,0.69,-0.35
2077,1,18,9.09,0.71,-0.58
2077,2,18.58,8.6,0.71,-0.58
2077,3,18.21,9.21,0.7,-0.56
2077,4,17.96,9.73,0.69,-0.37
2078,1,17.98,9.08,0.71,-0.58
2078,2,18.6,8.6,0.71,-0.58
2078,3,18.1,9.11,0.71,-0.57
2078,4,17.96,9.71,0.69,-0.42
2079,1,18.01,9.26,0.71,-0.58
2079,2,18.56,8.61,0.71,-0.58
2079,3,18.07,9.21,0.7,-0.56
2079,4,17.96,9.75,0.69,-0.36
2080,1,18,9.19,0.71,-0.58
2080,2,18.43,8.6,0.71,-0.58
2080,3,18.06,9.13,0.7,-0.51
2080,4,17.96,9.74,0.69,-0.36
2081,1,18.02,9.16,0.71,-0.58
2081,2,18.59,8.6,0.71,-0.58
2081,3,18.07,9.19,0.7,-0.56
2081,4,17.96,9.75,0.69,-0.35
2082,1,18.06,9.36,0.71,-0.58
2082,2,18.52,8.62,0.71,-0.58
2082,3,18.04,9.19,0.7,-0.56
2082,4,17.96,9.74,0.69,-0.33
2083,1,18.07,9.05,0.71,-0.58
2083,2,18.64,8.6,0.71,-0.58
2083,3,18.19,8.94,0.7,-0.57
2083,4,17.96,9.72,0.69,-0.33
2084,1,18.03,9.03,0.71,-0.58
2084,2,18.6,8.6,0.71,-0.58
2084,3,18.03,9.17,0.7,-0.54
2084,4,17.96,9.73,0.69,-0.33
2085,1,18.04,9.11,0.71,-0.58
2085,2,18.6,8.6,0.71,-0.58
2085,3,18.08,9.08,0.7,-0.56
2085,4,17.96,9.71,0.69,-0.3
2086,1,18.14,8.94,0.71,-0.58
2086,2,18.66,8.6,0.71,-0.58
2086,3,18.13,9.09,0.71,-0.58
2086,4,17.96,9.71,0.69,-0.42
2087,1,18.23,8.93,0.71,-0.58
2087,2,18.55,8.6,0.71,-0.58
2087,3,18.09,9.15,0.71,-0.58
2087,4,17.96,9.73,0.69,-0.34
2088,1,18.07,9.19,0.71,-0.58
2088,2,18.65,8.6,0.71,-0.58
2088,3,18.07,9.17,0.7,-0.54
2088,4,17.96,9.75,0.69,-0.32
2089,1,18.01,9.09,0.71,-0.58
2089,2,18.57,8.6,0.71,-0.58
2089,3,18.07,9.1,0.71,-0.58
2089,4,17.96,9.71,0.69,-0.43
2090,1,18.01,9.1,0.71,-0.58
2090,2,18.65,8.6,0.71,-0.58
2090,3,18.05,9.06,0.71,-0.57
2090,4,17.96,9.69,0.7,-0.46
2091,1,18.09,8.97,0.71,-0.58
2091,2,18.6,8.6,0.71,-0.58
2091,3,18.08,9.21,0.7,-0.55
2091,4,17.96,9.75,0.69,-0.3
2092,1,18.03,9.09,0.71,-0.58
2092,2,18.61,8.6,0.71,-0.58
2092,3,18.05,9.22,0.7,-0.55
2092,4,17.96,9.74,0.69,-0.37
2093,1,18.03,9.2,0.71,-0.57
2093,2,18.6,8.6,0.71,-0.58
2093,3,18.13,9.08,0.7,-0.57
2093,4,17.96,9.73,0.69,-0.35
2094,1,18.02,9.02,0.71,-0.58
2094,2,18.54,8.6,0.71,-0.58
2094,3,18.08,9.12,0.7,-0.54
2094,4,17.96,9.75,0.69,-0.31
2095,1,18.01,9.03,0.71,-0.58
2095,2,18.61,8.6,0.71,-0.58
2095,3,18.06,9.13,0.7,-0.55
2095,4,17.96,9.75,0.69,-0.36
2096,1,18.05,9.01,0.71,-0.58
2096,2,18.56,8.6,0.71,-0.58
2096,3,18.08,9.14,0.71,-0.58
2096,4,17.96,9.73,0.69,-0.33
2097,1,18.07,9.06,0.71,-0.58
2097,2,18.71,8.6,0.71,-0.58
2097,3,18.16,9.12,0.71,-0.58
2097,4,17.96,9.74,0.69,-0.38
2098,1,18.06,9.01,0.71,-0.58
2098,2,18.55,8.6,0.71,-0.58
2098,3,18.1,9.05,0.7,-0.56
2098,4,17.96,9.74,0.69,-0.34
2099,1,18.1,8.99,0.71,-0.58
2099,2,18.59,8.6,0.71,-0.58
2099,3,18.06,9.14,0.71,-0.58
2099,4,17.96,9.74,0.69,-0.35
2100,1,18.1,8.98,0.71,-0.58
2100,2,18.62,8.6,0.71,-0.58
2100,3,18.05,9.16,0.71,-0.57
2100,4,17.96,9.74,0.69,-0.36
2101,1,18.07,8.89,0.71,-0.58
2101,2,18.66,8.6,0.71,-0.58
2101,3,18.12,9.15,0.71,-0.57
2101,4,17.96,9.73,0.69,-0.38
2102,1,18.04,8.91,0.71,-0.58
2102,2,18.59,8.6,0.71,-0.58
2102,3,18.12,9.16,0.7,-0.56
2102,4,17.96,9.73,0.69,-0.37
2103,1,18.06,9.09,0.71,-0.58
2103,2,18.65,8.6,0.71,-0.58
2103,3,18.06,9.15,0.7,-0.56
2103,4,17.96,9.7,0.7,-0.47
2104,1,18.05,9.07,0.71,-0.58
2104,2,18.63,8.61,0.71,-0.58
2104,3,18.1,9.08,0.71,-0.57
2104,4,17.96,9.75,0.69,-0.36
2105,1,18.12,9.08,0.71,-0.58
2105,2,18.64,8.6,0.71,-0.58
2105,3,18.07,9.21,0.71,-0.57
2105,4,17.96,9.71,0.69,-0.35
2106,1,18.01,9.11,0.71,-0.58
2106,2,18.58,8.61,0.71,-0.58
2106,3,18.11,9.11,0.71,-0.57
2106,4,17.96,9.7,0.69,-0.36
2107,1,17.99,9.19,0.71,-0.58
2107,2,18.6,8.6,0.71,-0.58
2107,3,18.11,9.12,0.71,-0.58
2107,4,17.96,9.75,0.69,-0.33
2108,1,18.01,9.12,0.71,-0.58
2108,2,18.67,8.61,0.71,-0.58
2108,3,18.05,9.18,0.71,-0.58
2108,4,17.96,9.7,0.69,-0.39
2109,1,18.05,9.21,0.71,-0.58
2109,2,18.57,8.6,0.71,-0.58
2109,3,18.15,9.07,0.71,-0.57
2109,4,17.96,9.74,0.69,-0.35
2110,4,17.96,9.75,0.69,-0.37
